data,categoria,tipo,valor,descricao,metodo_pgto
27/09/2024,Lazer,despesa,640.74,Lazer - pagamento,Transferência
2022/03/14,Transporte ,despesa,180.82,Transporte - pagamento,Pix
2022/05/25,Bônus,receita,6967.29,Bônus - pagamento,
2022/12/23,Vestuário,despesa,270.29,Vestuário - pagamento,Transferência
2023/05/24, Saúde,,169.7,,
2022/09/08, Saúde,despesa,381.76,Saúde - pagamento,Débito
2022/01/01,alimentação,despesa,532.12,alimentação - pagamento,Cartão de Crédito
2024/08/22,alimentação,despesa,455.04,alimentação - pagamento,
28/04/2022,Vestuário,despesa,"R$ 112,48",Vestuário - pagamento,
15/04/2024,assinaturas,despesa,513.54,assinaturas - pagamento,Boleto
2024/03/02,Moradia,despesa,182.32,Moradia - pagamento,Transferência
2024-05-12,Freelance,receita,5110.21,,
2024/03/26,Alimentação,despesa,90.51,,Cartão de Crédito
08/05/2024,Rendimentos,receita,4608.64,Rendimentos - pagamento,Cartão de Crédito
04/10/2023,Manutenção,despesa,313.74,,Pix
2023-08-01,Manutenção,despesa,710.45,,Boleto
2023/04/26,Freelance,receita,2529.45,Freelance - pagamento,Transferência
13-02-2023,Rendimentos,receita,3415.93,,Boleto
03/11/2023,Freelance,receita,5381.4,Freelance - pagamento,Boleto
02-08-2024,Salário,receita,1645.75,Salário - pagamento,Transferência
2023-11-25,alimentação,despesa,"R$ 163,21",alimentação - pagamento,
2022-09-21,Manutenção,despesa,251.4,Manutenção - pagamento,Boleto
2024-08-06,Impostos,despesa,493.67,,Cartão de Crédito
08-06-2023, Saúde,despesa,132.71,Saúde - pagamento,Boleto
2022/09/01,Impostos,despesa,5,Impostos - pagamento,Débito
2024/08/25,Rendimentos,receita,4609.47,Rendimentos - pagamento,
19/04/2022,Transporte ,despesa,141.4,Transporte - pagamento,Débito
2022-05-30,Moradia,despesa,673.13,,Transferência
09-08-2022,Salário,receita,4661.01,Salário - pagamento,
12/06/2024,Moradia,despesa,5,Moradia - pagamento,Boleto
2022-05-21,Freelance,receita,6964.53,,Débito
2022/04/17,Salário,receita,5622.66,Salário - pagamento,Pix
26-08-2022,Vestuário,despesa,5,Vestuário - pagamento,Pix
05/03/2024,Salário,receita,3509.49,Salário - pagamento,
2024-08-08,Transporte ,despesa,152.17,,Boleto
15/03/2022, Saúde,despesa,5,Saúde - pagamento,Pix
09-04-2023,Educação,despesa,465.28,Educação - pagamento,Pix
2023/04/27,Educação,despesa,263.66,,Pix
2024-03-15,alimentação,despesa,335.38,alimentação - pagamento,
2023-07-05,alimentação,despesa,476.47,alimentação - pagamento,Débito
2023-04-14,Freelance,receita,6820.64,Freelance - pagamento,Débito
13-11-2024,Rendimentos,receita,4110.55,Rendimentos - pagamento,Boleto
02-12-2022,Lazer,despesa,303.53,Lazer - pagamento,Cartão de Crédito
28-10-2023,Manutenção,despesa,692.95,,Pix
04/09/2024,Alimentação,despesa,5,Alimentação - pagamento,Cartão de Crédito
2023-09-17,Rendimentos,receita,4859.68,Rendimentos - pagamento,Débito
28/09/2023,Manutenção,despesa,757.79,,Débito
2023/09/26,Transporte ,despesa,481.1,Transporte - pagamento,Débito
16-03-2023,Alimentação,despesa,430.76,Alimentação - pagamento,Transferência
2024/07/20,Impostos,despesa,175.75,,Boleto
18-07-2023,assinaturas,despesa,720.95,,Transferência
2023-05-16,Moradia,despesa,125.76,,Transferência
2022-06-02,Freelance,receita,4415.05,Freelance - pagamento,Cartão de Crédito
11/10/2022,Moradia,despesa,47.9,Moradia - pagamento,Transferência
02/06/2023,Transporte ,despesa,"R$ 475,02",Transporte - pagamento,Transferência
08-04-2022,alimentação,despesa,194.94,,Transferência
09-12-2024,Freelance,receita,3497.84,Freelance - pagamento,Débito
30-03-2024,Educação,despesa,304.37,,Cartão de Crédito
2024-05-17, Saúde,despesa,205.69,,Débito
01/01/2024,Bônus,receita,7752.56,Bônus - pagamento,Débito
06/08/2022,assinaturas,despesa,531.72,,Débito
2024/11/08,assinaturas,despesa,552.19,assinaturas - pagamento,Cartão de Crédito
22/01/2023,Alimentação,despesa,316.41,Alimentação - pagamento,Cartão de Crédito
12/08/2022,Moradia,despesa,79.85,Moradia - pagamento,Débito
24-07-2023, Saúde,despesa,668.2,,Cartão de Crédito
2024/04/17,Freelance,receita,2361.45,Freelance - pagamento,Boleto
25/06/2024,Impostos,despesa,417.74,Impostos - pagamento,Boleto
2024-04-02,Alimentação,despesa,172.81,Alimentação - pagamento,Débito
12/04/2023,Educação,despesa,50.02,,
2023-09-05,Transporte ,despesa,189.19,Transporte - pagamento,Cartão de Crédito
2023/09/24,Educação,despesa,147.02,Educação - pagamento,Cartão de Crédito
26-01-2024,assinaturas,despesa,131.22,,
2024-02-18,Educação,despesa,259.68,Educação - pagamento,Boleto
2023/06/14,alimentação,despesa,618.02,,Cartão de Crédito
18/11/2022,assinaturas,despesa,126.47,,Débito
19-03-2023, Saúde,despesa,174.98,Saúde - pagamento,Transferência
2022-12-30,Vestuário,despesa,419.03,Vestuário - pagamento,Débito
16/04/2022,Educação,despesa,411.56,Educação - pagamento,Cartão de Crédito
26/07/2023,Moradia,despesa,530.34,Moradia - pagamento,Boleto
2024-07-12,Moradia,despesa,186.91,Moradia - pagamento,Débito
05-02-2022,Lazer,despesa,583.27,Lazer - pagamento,Débito
31/07/2022,Freelance,receita,7512.55,Freelance - pagamento,Pix
2022-12-21,Bônus,receita,5118.55,Bônus - pagamento,Transferência
2023/11/13,Educação,despesa,5,Educação - pagamento,Cartão de Crédito
2024-12-11,Alimentação,despesa,178.61,Alimentação - pagamento,Pix
2022-01-11,Rendimentos,receita,8212.43,,Pix
26/11/2022,Educação,despesa,271.63,Educação - pagamento,
2022-12-29,Impostos,despesa,374.8,Impostos - pagamento,Cartão de Crédito
2022-12-04,Impostos,despesa,334.84,,
24/09/2023,Transporte ,despesa,629.28,Transporte - pagamento,Pix
2023-07-17,assinaturas,despesa,563.15,,Transferência
03/03/2023,Bônus,receita,3844.94,Bônus - pagamento,Boleto
24-10-2024,Manutenção,despesa,19179.39,,Débito
28/08/2023,Vestuário,despesa,315.48,,
2022/05/24,Alimentação,despesa,165.62,Alimentação - pagamento,Boleto
02/07/2024,Bônus,receita,3010.65,,Pix
28-06-2023,alimentação,despesa,80.45,alimentação - pagamento,
14/01/2023,Transporte ,despesa,417.74,Transporte - pagamento,Transferência
26/04/2023,Transporte ,despesa,5,,Pix
26-06-2023, Saúde,despesa,544.99,Saúde - pagamento,Débito
2022-03-06,Bônus,receita,3033.37,,Boleto
27-11-2023,assinaturas,despesa,785.15,assinaturas - pagamento,Débito
05/05/2024, Saúde,despesa,232.45,Saúde - pagamento,
2024/09/27,alimentação,despesa,564.25,alimentação - pagamento,Débito
20-09-2024,Rendimentos,receita,"R$ 4.320,42",Rendimentos - pagamento,
2022/04/24,alimentação,despesa,240.76,alimentação - pagamento,Pix
2022-09-19,Bônus,receita,7944.58,Bônus - pagamento,Pix
2023-10-20,assinaturas,despesa,450.8,assinaturas - pagamento,Cartão de Crédito
27-06-2024,Transporte ,despesa,772.08,Transporte - pagamento,Cartão de Crédito
12-06-2024,Freelance,receita,6517.75,Freelance - pagamento,Débito
26-06-2023,Lazer,despesa,640.05,,Transferência
2022/10/25,Alimentação,despesa,86.12,Alimentação - pagamento,
2023-07-27,Manutenção,despesa,451.46,,Débito
2024-09-07,Manutenção,despesa,600.46,,Transferência
2022/01/18,Freelance,receita,4837.81,Freelance - pagamento,Transferência
2024-01-21,Moradia,despesa,940.71,,Débito
2023-01-18,alimentação,despesa,184.37,,Cartão de Crédito
2024-01-22,Alimentação,despesa,25854.63,,
25/10/2024,Freelance,receita,2985.47,,Cartão de Crédito
29-04-2024,Educação,despesa,350.62,,Pix
14-05-2022,Impostos,despesa,746.77,,Pix
2023/10/07,Moradia,despesa,"R$ 256,43",Moradia - pagamento,
08/09/2024,Manutenção,despesa,5,,Pix
26-08-2023,Freelance,receita,3859.04,Freelance - pagamento,Cartão de Crédito
17-10-2022,Impostos,despesa,418.45,Impostos - pagamento,Boleto
14-01-2024,alimentação,despesa,825.61,alimentação - pagamento,Cartão de Crédito
2023-09-22,Transporte ,despesa,405.29,Transporte - pagamento,Transferência
20/07/2023,Impostos,despesa,222.42,Impostos - pagamento,Boleto
2023-09-06,Educação,despesa,594.67,Educação - pagamento,Pix
2024/04/25,Educação,despesa,203.89,Educação - pagamento,Pix
06/08/2022,Bônus,receita,3959.13,Bônus - pagamento,Cartão de Crédito
16-09-2022,Bônus,receita,4939.4,Bônus - pagamento,Boleto
10/02/2023,Rendimentos,receita,947.77,Rendimentos - pagamento,Transferência
27-10-2024,Transporte ,despesa,421.32,Transporte - pagamento,Transferência
2024/04/21,Bônus,receita,3587.25,Bônus - pagamento,
2022/07/06,Bônus,receita,4819.94,Bônus - pagamento,
2023/04/22,Salário,receita,5359.04,,
2023-06-15,Impostos,despesa,5,Impostos - pagamento,
2023/12/07,alimentação,despesa,233.27,alimentação - pagamento,Boleto
11-01-2024,Manutenção,despesa,309.76,Manutenção - pagamento,Débito
07/09/2024,alimentação,despesa,463.55,alimentação - pagamento,
23-01-2022,Alimentação,despesa,202.41,Alimentação - pagamento,Cartão de Crédito
01/12/2022,Vestuário,despesa,228.54,Vestuário - pagamento,Débito
2022/12/26,Freelance,receita,"R$ 5.464,62",,Pix
02/01/2024,Freelance,receita,6524.02,Freelance - pagamento,Transferência
2024/09/16, Saúde,despesa,703.07,Saúde - pagamento,
2023-08-20,Impostos,despesa,324.4,,Pix
2024-04-09,Moradia,despesa,5,Moradia - pagamento,Cartão de Crédito
2024/10/15,assinaturas,despesa,495.75,assinaturas - pagamento,Débito
01-04-2022,Rendimentos,receita,2637.83,Rendimentos - pagamento,Cartão de Crédito
20/03/2023,Bônus,receita,4795.34,Bônus - pagamento,Débito
2022-01-30,Lazer,despesa,15.1,Lazer - pagamento,Pix
2022/11/06,Transporte ,despesa,383.26,Transporte - pagamento,Cartão de Crédito
02/02/2023,Moradia,despesa,407.33,Moradia - pagamento,Boleto
16/05/2023,Impostos,despesa,446.91,Impostos - pagamento,Débito
2022-02-19,alimentação,despesa,513.28,alimentação - pagamento,Pix
2022/01/27,Freelance,receita,6087.14,Freelance - pagamento,Transferência
29/02/2024,Rendimentos,receita,5409.23,Rendimentos - pagamento,
2024/04/10, Saúde,despesa,537.66,Saúde - pagamento,Pix
2024/01/23,Transporte ,despesa,145.69,,Boleto
2023/10/13, Saúde,despesa,"R$ 496,91",,Pix
2023/02/27,Freelance,receita,3281.75,Freelance - pagamento,Débito
11-03-2022,Lazer,despesa,599.98,,Cartão de Crédito
05/12/2023,Transporte ,despesa,"R$ 170,37",Transporte - pagamento,Boleto
2024/12/22,Alimentação,despesa,691.91,Alimentação - pagamento,Pix
22/09/2024, Saúde,despesa,633.41,Saúde - pagamento,Débito
22/10/2023,assinaturas,despesa,51.17,assinaturas - pagamento,Débito
2024-06-02,Moradia,despesa,646.16,Moradia - pagamento,
19-12-2024,Educação,despesa,320.99,Educação - pagamento,Cartão de Crédito
2023-07-05,assinaturas,despesa,11.72,assinaturas - pagamento,
07/09/2022,Impostos,despesa,263.22,,Débito
2022/09/10,Impostos,despesa,835.91,Impostos - pagamento,Cartão de Crédito
06-12-2023,Rendimentos,receita,7070.31,Rendimentos - pagamento,
2024/08/25,,despesa,148.75,,Pix
2022/04/11,Educação,despesa,415.87,Educação - pagamento,Transferência
29/09/2022,assinaturas,despesa,307.19,assinaturas - pagamento,Cartão de Crédito
10-09-2024,Educação,despesa,593.13,,Cartão de Crédito
2022/08/11, Saúde,despesa,274.94,Saúde - pagamento,Transferência
10-01-2023, Saúde,despesa,500.08,Saúde - pagamento,Boleto
2022/11/23,Bônus,receita,2022.81,Bônus - pagamento,Débito
2023/03/08,,receita,5784.53,Freelance - pagamento,Pix
2023/02/03,,despesa,378.64,,
18-05-2023,Transporte ,despesa,5,,Boleto
2023/12/06,Educação,despesa,422.51,Educação - pagamento,Boleto
2023/08/31,alimentação,despesa,13.61,alimentação - pagamento,Cartão de Crédito
2023/04/06,Moradia,despesa,535.16,Moradia - pagamento,Boleto
2023/12/07,Manutenção,despesa,1082.13,Manutenção - pagamento,Pix
14/01/2024,Bônus,receita,835.64,Bônus - pagamento,Cartão de Crédito
08/05/2023,Salário,receita,3857.09,,
2023/04/12,Bônus,receita,1576.13,Bônus - pagamento,Pix
2024/12/03,alimentação,despesa,436.31,alimentação - pagamento,Pix
2024-08-25,Moradia,despesa,203.14,,Cartão de Crédito
03-06-2024,Rendimentos,receita,4581.56,Rendimentos - pagamento,Cartão de Crédito
09-04-2024,Alimentação,despesa,5,Alimentação - pagamento,Pix
2024/08/08,Educação,despesa,634.94,Educação - pagamento,Transferência
07-10-2022,Impostos,despesa,82.98,,
04/09/2022,Freelance,receita,3498.9,Freelance - pagamento,Pix
11/03/2023,Salário,receita,5362.53,Salário - pagamento,Pix
2023-08-12, Saúde,despesa,563.7,Saúde - pagamento,Transferência
20/03/2024,Bônus,receita,2932.24,,
02-02-2024,Lazer,despesa,41.59,Lazer - pagamento,Boleto
31/10/2022,alimentação,despesa,472.12,,Pix
2024/12/15,Impostos,despesa,5,Impostos - pagamento,Débito
02-04-2023,Impostos,despesa,5,,Boleto
2024/12/19, Saúde,despesa,223.24,Saúde - pagamento,Cartão de Crédito
2024/09/30,Transporte ,despesa,670.36,,Débito
2023/12/26,Freelance,receita,4413.83,Freelance - pagamento,Transferência
2022-04-22,Moradia,despesa,756.92,,
2022/10/20,Lazer,,126.44,Lazer - pagamento,Cartão de Crédito
2024-07-10,Transporte ,despesa,5,Transporte - pagamento,Transferência
14-03-2022,Vestuário,despesa,505.58,Vestuário - pagamento,
2023-05-08,alimentação,despesa,285.27,,
2022-07-30,Alimentação,despesa,345.69,Alimentação - pagamento,
11/12/2022,Educação,despesa,9.94,Educação - pagamento,Transferência
20-03-2023,Educação,despesa,746.63,Educação - pagamento,Débito
21/01/2022,Manutenção,despesa,"R$ 247,76",Manutenção - pagamento,Transferência
2024-09-15,Impostos,despesa,422.13,Impostos - pagamento,Pix
12-04-2024,Manutenção,despesa,5,Manutenção - pagamento,
2022/08/06,Impostos,despesa,53.74,Impostos - pagamento,Transferência
01/12/2022,Impostos,despesa,203.51,,
2023/11/11,Bônus,receita,574.47,Bônus - pagamento,Boleto
23-01-2022,assinaturas,despesa,132.23,assinaturas - pagamento,
2023/04/25,Educação,despesa,549.5,,
25/01/2022,,despesa,565.81,,Pix
14-06-2023,Alimentação,despesa,379.5,Alimentação - pagamento,Boleto
19-01-2023,Educação,despesa,411.77,,Pix
24/02/2022,Freelance,receita,3365.5,Freelance - pagamento,Cartão de Crédito
2022/08/15,Manutenção,despesa,5,,Pix
15-06-2023,Moradia,despesa,387.18,,
2024-07-20,Transporte ,despesa,264.69,,Transferência
11/02/2023,Rendimentos,receita,5598.46,Rendimentos - pagamento,Transferência
2023/10/12,Vestuário,despesa,408.74,Vestuário - pagamento,Cartão de Crédito
14-11-2022,Impostos,despesa,140.66,,Boleto
2022-01-17,Rendimentos,receita,"R$ 4.220,43",,Boleto
2024/09/02,Bônus,receita,5517.24,,Transferência
01/08/2023,assinaturas,despesa,352.04,assinaturas - pagamento,Débito
2024/01/14,Lazer,despesa,846.57,Lazer - pagamento,Débito
2024/03/11, Saúde,despesa,436.04,,Transferência
2024/11/13,Salário,receita,6638.64,,Boleto
01-10-2022,Lazer,despesa,5,Lazer - pagamento,Boleto
2022/12/06,Manutenção,despesa,254.93,Manutenção - pagamento,Boleto
2022-03-08,Lazer,despesa,132.66,Lazer - pagamento,Cartão de Crédito
22-04-2022,Salário,receita,4111.75,,
17/04/2023, Saúde,despesa,474.93,Saúde - pagamento,Débito
17/07/2022,Manutenção,despesa,408.25,,
2022-05-10,Manutenção,despesa,578.12,,Transferência
04/01/2022,Impostos,despesa,419.37,Impostos - pagamento,Transferência
22/07/2024,alimentação,despesa,280.79,,Transferência
2024/03/15,Transporte ,despesa,58.21,Transporte - pagamento,
2023/08/08,Salário,receita,6264.68,Salário - pagamento,
2023-04-24,Educação,despesa,274.2,Educação - pagamento,Pix
26/03/2023,assinaturas,despesa,57.51,assinaturas - pagamento,
2024/07/15,Alimentação,despesa,183.86,Alimentação - pagamento,Pix
2024/07/17,Alimentação,despesa,249.52,,Boleto
2023/02/19,Alimentação,despesa,352.47,Alimentação - pagamento,Transferência
24/10/2023,Lazer,despesa,5,Lazer - pagamento,Débito
2024/04/15,Transporte ,despesa,145.7,,Boleto
05/08/2024,Lazer,despesa,325.89,,Cartão de Crédito
2024/05/08,Educação,despesa,479.93,Educação - pagamento,Débito
02-02-2024,assinaturas,despesa,976.06,assinaturas - pagamento,Transferência
27/02/2024,Manutenção,despesa,450.98,,Boleto
2024-04-29,Alimentação,despesa,"R$ 559,47",Alimentação - pagamento,Transferência
2022/10/15, Saúde,despesa,595.69,Saúde - pagamento,Débito
05-05-2023,assinaturas,despesa,5,,Boleto
2022/04/21,Rendimentos,receita,16868.49,Rendimentos - pagamento,
04-09-2022,Bônus,receita,6009.33,Bônus - pagamento,
05-06-2023,Moradia,despesa,256.79,Moradia - pagamento,Cartão de Crédito
15-06-2024,Salário,receita,"R$ 6.752,04",,
26-10-2024,Vestuário,despesa,779.26,Vestuário - pagamento,Boleto
2023/04/11,Impostos,despesa,301.62,Impostos - pagamento,Boleto
26-12-2022,Vestuário,despesa,380.42,Vestuário - pagamento,Transferência
21/06/2024,Rendimentos,receita,1427.37,,
2023/10/15,Transporte ,despesa,486.37,,Pix
07-02-2022,Salário,receita,2286.32,,Pix
2022-09-25,Vestuário,despesa,"R$ 545,23",Vestuário - pagamento,Pix
2022-03-27,Vestuário,despesa,5,Vestuário - pagamento,Cartão de Crédito
2024/09/29,assinaturas,despesa,31.81,assinaturas - pagamento,Débito
2023-06-10,Moradia,despesa,533.8,Moradia - pagamento,Débito
07/06/2023,Educação,despesa,265.46,Educação - pagamento,
25-01-2022,Freelance,,200,,Boleto
26-11-2023,Moradia,despesa,274.9,,
2023-07-24,Salário,receita,2602.0,Salário - pagamento,Boleto
2024/05/18, Saúde,despesa,5,Saúde - pagamento,
06-06-2022,Vestuário,despesa,520.27,,Transferência
27/04/2022,alimentação,despesa,515.04,alimentação - pagamento,
11/07/2023,Freelance,receita,4626.94,,Boleto
2024/07/11,Manutenção,despesa,"R$ 479,38",Manutenção - pagamento,Transferência
02/06/2023,alimentação,despesa,312.33,alimentação - pagamento,Cartão de Crédito
20/01/2022,,receita,5408.21,Freelance - pagamento,Débito
12/02/2024,Bônus,receita,2663.26,Bônus - pagamento,Pix
2022/07/23,Transporte ,despesa,388.47,Transporte - pagamento,Transferência
09-04-2024,Manutenção,despesa,317.99,Manutenção - pagamento,
2024-10-15,Salário,receita,6773.17,Salário - pagamento,Cartão de Crédito
2022/03/04,Bônus,receita,3178.48,,Transferência
04-06-2022,Impostos,despesa,393.92,Impostos - pagamento,Cartão de Crédito
2022-10-17,assinaturas,despesa,86.0,assinaturas - pagamento,Transferência
2022-05-12,Manutenção,despesa,"R$ 35,81",Manutenção - pagamento,Cartão de Crédito
2022/07/15, Saúde,despesa,5,Saúde - pagamento,Transferência
2022/07/11,Bônus,receita,1786.15,Bônus - pagamento,Boleto
20-01-2024,alimentação,despesa,530.29,,Transferência
2024-06-24,Vestuário,despesa,653.01,,
09-11-2022,Rendimentos,receita,5445.41,,
01-03-2024,Moradia,despesa,797.48,Moradia - pagamento,Cartão de Crédito
2023/06/30,Rendimentos,receita,6443.4,Rendimentos - pagamento,
2023/06/02,Vestuário,despesa,"R$ 419,29",Vestuário - pagamento,Pix
28-01-2024,Salário,receita,"R$ 2.832,34",Salário - pagamento,Transferência
2022/07/16,Freelance,receita,8702.94,,Pix
18-05-2022,assinaturas,despesa,"R$ 5,00",assinaturas - pagamento,
2023/09/12,Transporte ,despesa,364.48,Transporte - pagamento,Transferência
05-04-2024,assinaturas,despesa,"R$ 190,37",assinaturas - pagamento,
2022-02-03,Transporte ,despesa,122.07,Transporte - pagamento,Débito
01-08-2024, Saúde,despesa,178.74,Saúde - pagamento,Cartão de Crédito
03-05-2023,alimentação,despesa,"R$ 513,04",,Pix
2022/08/21,Bônus,receita,2840.85,Bônus - pagamento,Boleto
2023-05-17,Rendimentos,receita,7481.41,Rendimentos - pagamento,Boleto
2023/01/31,Bônus,receita,6200.95,,
15-10-2022,Salário,receita,1634.06,,Transferência
2022/11/04,Freelance,receita,5727.61,Freelance - pagamento,Boleto
2023/03/31,Impostos,despesa,566.62,Impostos - pagamento,Débito
